lecturer_id,full_name,department,email,phone_number,hire_date,employment_type
2244,Nicolea Ninnis,Architecture,nninniss@t.co,447-498-7205,03/02/2018,Full-time
8472,Letitia Basill,Arts,lbasillt@ezinearticles.com,923-566-9374,18/02/2022,Full-time
5060,Nettle Millea,Computing,nmilleau@imgur.com,533-930-5284,07/04/2022,Full-time
8789,Esther Oake,Engineering,eoakev@prnewswire.com,587-389-9508,29/01/2022,Full-time
5433,Evania Cowdray,Business,ecowdrayw@sciencedaily.com,782-413-9498,08/09/2018,Full-time
9519,Paula Bareham,Social Sciences,pbarehamx@mapy.cz,429-658-7830,09/11/2021,Full-time
8622,Georgeanne Armal,Engineering,garmaly@livejournal.com,606-885-1087,16/03/2022,Full-time
8939,Cassy Babington,Business,cbabingtonz@smh.com.au,214-263-4245,19/05/2021,Visiting
8109,Evonne Rowbottom,Architecture,erowbottom10@surveymonkey.com,491-407-4553,26/04/2021,Full-time
2492,Klarika Stoak,Computing,kstoak11@spotify.com,398-909-5986,12/04/2019,Full-time
8062,Henrieta Hammand,Social Sciences,hhammand12@sakura.ne.jp,321-223-5469,02/12/2020,Full-time
9214,Alma Farmery,Law,afarmery13@npr.org,196-272-0572,13/03/2022,Visiting
4831,Hedda Marlowe,Science,hmarlowe14@slideshare.net,921-439-5106,04/03/2019,Visiting
1156,Garry Morphey,Engineering,gmorphey15@businesswire.com,233-544-1590,14/11/2020,Full-time
9047,Trescha Pearde,Architecture,tpearde16@reverbnation.com,838-795-6717,14/05/2022,Full-time
2676,Shanda Collecott,Computing,scollecott17@kickstarter.com,590-953-4352,21/07/2021,Full-time
5578,Raff McMorland,Agriculture,rmcmorland18@paypal.com,947-621-7909,05/02/2020,Full-time
2741,Durand Christiensen,Architecture,dchristiensen19@disqus.com,438-461-2095,30/10/2020,Full-time
6691,Kennedy Guilloux,Business,kguilloux1a@wikia.com,763-588-1790,08/09/2019,Full-time
3647,Emalia Grossman,Law,egrossman1b@acquirethisname.com,214-478-8405,18/04/2020,Full-time
2332,Reeva Chippendale,Medicine,rchippendale1c@sfgate.com,652-172-8028,04/06/2021,Full-time
1191,Claudius Wolseley,Social Sciences,cwolseley1d@goo.gl,806-749-4718,10/04/2019,Full-time
9031,Fritz Plak,Law,fplak1e@chicagotribune.com,236-627-0789,05/03/2018,Full-time
4335,Pate Backman,Law,pbackman1f@google.com.hk,923-159-9482,02/09/2020,Full-time
3998,Alwyn Sharphurst,Medicine,asharphurst1g@sohu.com,973-176-1313,01/06/2020,Full-time
5555,Udell Reubel,Medicine,ureubel1h@admin.ch,631-752-7451,20/05/2020,Full-time
9231,Francesca Edyson,Business,fedyson1i@ucoz.ru,571-855-4143,27/01/2022,Full-time
5959,Charity Mc Meekan,Computing,cmc1j@wiley.com,354-174-4180,21/04/2019,Full-time
2485,Dyan Burdoun,Social Sciences,dburdoun1k@patch.com,932-632-7852,15/05/2018,Full-time
9685,Pearle Canadine,Social Sciences,pcanadine1l@auda.org.au,774-645-6478,05/11/2021,Full-time
3076,Lenard Farrer,Social Sciences,lfarrer1m@quantcast.com,897-171-4605,22/01/2018,Visiting
9782,Lizzy Gladwin,Architecture,lgladwin1n@vinaora.com,619-273-0419,07/11/2022,Visiting
8567,Rivi Dennick,Social Sciences,rdennick1o@vimeo.com,942-604-3083,07/04/2020,Full-time
5618,Tucker Arnaldy,Agriculture,tarnaldy1p@cloudflare.com,127-380-7454,28/05/2019,Full-time
1206,Paxton Blackaller,Arts,pblackaller1q@stumbleupon.com,484-288-8866,01/07/2022,Full-time
5836,Tuck Georgiev,Social Sciences,tgeorgiev1r@tinyurl.com,408-951-0192,31/05/2018,Full-time
1508,Mickie Creane,Business,mcreane1s@live.com,760-348-0796,07/11/2019,Full-time
8446,Mannie Ballentime,Business,mballentime1t@chron.com,277-391-4821,01/02/2021,Full-time
5695,Cherey Davids,Engineering,cdavids1u@drupal.org,234-520-9104,07/11/2019,Visiting
1304,Paquito Pestricke,Architecture,ppestricke1v@dell.com,326-555-8218,12/06/2021,Full-time
7933,Denys Bartoleyn,Science,dbartoleyn1w@wix.com,686-114-1910,11/08/2021,Full-time
6732,Mikkel Donisi,Law,mdonisi1x@unesco.org,182-432-5353,14/08/2018,Full-time
6372,Erminia Waywell,Social Sciences,ewaywell1y@senate.gov,201-460-2327,31/01/2019,Full-time
5056,Aprilette Bretland,Computing,abretland1z@tinyurl.com,168-604-1325,28/09/2020,Full-time
1471,Rosaleen Krugmann,Engineering,rkrugmann20@google.com.au,749-787-1373,07/09/2022,Visiting
2440,Hymie Sign,Law,hsign21@amazonaws.com,911-706-2529,07/05/2021,Full-time
8837,Christel Thorsby,Engineering,cthorsby22@geocities.com,966-933-6710,11/11/2019,Visiting
1537,Meredith Stanners,Medicine,mstanners23@gizmodo.com,192-331-0032,22/05/2021,Full-time
5227,Camella Leile,Engineering,cleile24@devhub.com,630-928-4608,04/05/2021,Visiting
6054,Carolyne Hoopper,Arts,choopper25@mayoclinic.com,626-704-0650,19/07/2018,Visiting
4021,Merrick Galler,Science,mgaller26@sphinn.com,290-853-1700,18/12/2021,Full-time
2919,Rosamund Duckhouse,Science,rduckhouse27@adobe.com,267-168-5050,23/11/2018,Full-time
6271,Yolande Venturoli,Arts,yventuroli28@cpanel.net,488-272-5486,03/12/2018,Visiting
6718,Juliette Van Weedenburg,Science,jvan29@behance.net,384-810-2919,26/01/2022,Visiting
4549,Wake Hadwin,Computing,whadwin2a@ucoz.ru,607-402-4536,26/03/2022,Full-time
5220,Wernher Oxlee,Business,woxlee2b@furl.net,883-738-5353,23/12/2020,Full-time
4346,Lesya Rooksby,Architecture,lrooksby2c@pbs.org,308-752-9434,03/08/2018,Full-time
3864,Gerik Studd,Computing,gstudd2d@twitpic.com,762-806-8163,21/01/2021,Visiting
2900,Dorian Limon,Medicine,dlimon2e@technorati.com,270-508-7318,26/04/2019,Full-time
4608,Beale Beed,Medicine,bbeed2f@umich.edu,360-141-1249,20/08/2018,Full-time
7574,Barrie Dobbyn,Agriculture,bdobbyn2g@reference.com,640-996-5738,10/07/2020,Visiting
9280,Kele Abercromby,Social Sciences,kabercromby2h@tripod.com,455-641-9404,06/07/2020,Full-time
6451,Stephie Chugg,Arts,schugg2i@nyu.edu,850-259-0326,28/08/2020,Full-time
7458,Jeanne Salla,Architecture,jsalla2j@photobucket.com,496-746-1494,13/10/2019,Full-time
9999,Ranice Matveyev,Science,rmatveyev2k@google.pl,934-542-7977,07/02/2020,Full-time
7658,Orelee Brahams,Architecture,obrahams2l@51.la,868-618-8352,21/05/2020,Full-time
8043,Arri De Moreno,Architecture,ade2m@epa.gov,512-351-0263,28/06/2021,Full-time
3834,Stevy Bonsey,Engineering,sbonsey2n@purevolume.com,954-816-9183,12/04/2019,Visiting
7830,Adan Vaughan,Law,avaughan2o@ed.gov,719-300-8081,28/01/2021,Visiting
5546,Ignacio Swindlehurst,Agriculture,iswindlehurst2p@blog.com,504-682-1525,06/10/2019,Full-time
8969,Nathan MacMichael,Social Sciences,nmacmichael2q@bigcartel.com,654-864-6594,15/02/2020,Full-time
2925,Prue Daunter,Science,pdaunter2r@foxnews.com,752-586-8217,11/08/2021,Full-time
6996,Jelene Greber,Arts,jgreber2s@umich.edu,607-217-2825,23/01/2018,Full-time
6679,Britta Tinline,Business,btinline2t@diigo.com,182-317-7523,03/08/2020,Full-time
3499,Jodi Chubb,Social Sciences,jchubb2u@joomla.org,841-967-4394,29/05/2018,Full-time
6631,Dorice Stringer,Architecture,dstringer2v@boston.com,177-411-8128,30/12/2018,Visiting
3503,Cesaro Hulatt,Law,chulatt2w@liveinternet.ru,294-393-3820,29/10/2018,Full-time
1934,Ulysses Broek,Architecture,ubroek2x@godaddy.com,426-152-8895,11/10/2018,Full-time
7873,Arnoldo Hebblewhite,Social Sciences,ahebblewhite2y@over-blog.com,163-954-9581,18/12/2020,Full-time
2468,Thornie Goulstone,Law,tgoulstone2z@paypal.com,144-207-1199,25/12/2019,Full-time
2488,Welbie Gerhartz,Business,wgerhartz30@nature.com,904-352-4765,26/10/2021,Full-time
6641,Astrix Millen,Law,amillen31@whitehouse.gov,296-498-7527,21/07/2018,Full-time
7676,Caryl Quilliam,Social Sciences,cquilliam32@tuttocitta.it,146-132-8573,09/11/2019,Full-time
9493,Corinna Unwin,Arts,cunwin33@technorati.com,792-253-9692,28/04/2022,Visiting
7272,Rebecka Coutts,Architecture,rcoutts34@dropbox.com,210-275-3716,25/02/2022,Visiting
1705,Ware Bampkin,Medicine,wbampkin35@twitter.com,274-228-8820,29/06/2018,Full-time
5148,Christoper Draycott,Medicine,cdraycott36@vkontakte.ru,574-815-9398,03/07/2020,Full-time
7855,Tam Castleton,Arts,tcastleton37@wordpress.com,798-101-7639,03/11/2018,Full-time
5556,Foster Duerden,Agriculture,fduerden38@geocities.jp,542-574-2506,03/01/2020,Full-time
9790,Jacquette Glen,Agriculture,jglen39@mac.com,180-879-9308,12/12/2021,Visiting
5734,Melina Broxton,Agriculture,mbroxton3a@myspace.com,421-227-0770,07/11/2021,Full-time
1102,Constantine Phifer,Computing,cphifer3b@domainmarket.com,667-637-5795,30/09/2020,Full-time
2978,Patty Ferreiro,Architecture,pferreiro3c@hc360.com,414-816-0104,13/08/2018,Full-time
6719,Debor Westphal,Social Sciences,dwestphal3d@mozilla.org,163-804-1040,21/05/2019,Full-time
2556,Abigale Tuffey,Computing,atuffey3e@netscape.com,227-338-9566,28/07/2020,Full-time
7511,Larina Borrie,Medicine,lborrie3f@hugedomains.com,889-696-9574,05/05/2020,Visiting
9026,Sibella Heinish,Medicine,sheinish3g@java.com,908-243-4742,02/08/2018,Full-time
2509,Abbey Benoi,Computing,abenoi3h@wired.com,729-899-4429,28/11/2018,Full-time
1552,Tamra Sackey,Architecture,tsackey3i@imageshack.us,387-580-4375,09/09/2018,Visiting
3133,Bendite Job,Arts,bjob3j@flickr.com,676-629-5356,27/05/2022,Visiting
4660,Osgood Clemits,Architecture,oclemits3k@imageshack.us,801-383-5237,21/04/2019,Full-time
8316,Daisy Tomlett,Agriculture,dtomlett3l@google.fr,278-506-2650,06/06/2019,Full-time
8995,Gray Del Castello,Agriculture,gdel3m@nih.gov,400-938-6509,06/09/2021,Full-time
4024,Nicolais Sewter,Architecture,nsewter3n@upenn.edu,631-728-6115,17/03/2018,Full-time
8263,Dorise Pennyman,Agriculture,dpennyman3o@aol.com,140-651-0761,01/03/2019,Full-time
6529,Conny Jaulme,Architecture,cjaulme3p@zimbio.com,284-493-3157,09/06/2018,Visiting
2687,Prent McCarney,Engineering,pmccarney3q@google.pl,393-220-2701,19/11/2018,Full-time
4469,Stavro MacKee,Architecture,smackee3r@multiply.com,141-568-8555,13/08/2021,Full-time
1378,Nicolais Jehaes,Architecture,njehaes3s@howstuffworks.com,287-597-1576,28/05/2022,Full-time
6159,Harbert Farre,Architecture,hfarre3t@wisc.edu,745-887-1469,28/07/2022,Full-time
8954,Almira Cluelow,Engineering,acluelow3u@umich.edu,877-228-3250,18/11/2019,Full-time
7520,Reade Serjent,Architecture,rserjent3v@columbia.edu,841-635-6753,20/12/2020,Full-time
5791,Harley Havoc,Arts,hhavoc3w@joomla.org,521-761-1477,24/11/2021,Full-time
5604,Lana Beven,Engineering,lbeven3x@biblegateway.com,249-494-0562,28/07/2018,Full-time
4985,Drake Troke,Engineering,dtroke3y@free.fr,915-489-7788,09/10/2020,Full-time
1634,Nevsa Brandone,Architecture,nbrandone3z@nydailynews.com,837-491-3138,10/08/2020,Full-time
3791,Gilli Bidnall,Agriculture,gbidnall40@addtoany.com,781-700-9482,07/11/2021,Full-time
9872,Rebecka Joy,Architecture,rjoy41@huffingtonpost.com,641-927-6905,29/08/2020,Full-time
3345,Gael Beaglehole,Business,gbeaglehole42@shinystat.com,508-573-9075,19/01/2019,Visiting
7523,Elwin Jodkowski,Social Sciences,ejodkowski43@networkadvertising.org,304-130-6636,11/05/2018,Full-time
9900,Thorndike Constable,Social Sciences,tconstable44@slideshare.net,789-705-1596,06/04/2020,Full-time
8737,Marj Shiel,Architecture,mshiel45@cpanel.net,436-753-4413,07/07/2021,Visiting
